"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Seagull Lake",68.26667,-145.21667,2271,2352,5428,145,0.00790513833992095,0.00465116279069767,0.283720930232558
"Seagull Lake",68.26667,-145.21667,2271,2352,5780,155,0.0134831460674157,0,0.163316582914573
"Seagull Lake",68.26667,-145.21667,2271,2352,6355,160,0.0182648401826484,0.01,0.21
"Seagull Lake",68.26667,-145.21667,2271,2352,6930,165,0.0192307692307692,0.00699300699300699,0.237762237762238
"Seagull Lake",68.26667,-145.21667,2271,2352,7505,170,0.0138888888888889,0,0.172413793103448
"Seagull Lake",68.26667,-145.21667,2271,2352,8080,175,0.0269230769230769,0,0.379912663755459
"Seagull Lake",68.26667,-145.21667,2271,2352,8655,180,0.0160771704180064,0,0.244186046511628
"Seagull Lake",68.26667,-145.21667,2271,2352,9230,185,0.0128205128205128,0.0236220472440945,0.118110236220472
"Seagull Lake",68.26667,-145.21667,2271,2352,9535,190,0.0368421052631579,0.0151515151515152,0.00303030303030303
"Seagull Lake",68.26667,-145.21667,2271,2352,9840,195,0.0564263322884013,0.0185873605947955,0.00743494423791821
"Seagull Lake",68.26667,-145.21667,2271,2352,10145,200,0.050761421319797,0.00571428571428571,0
"Seagull Lake",68.26667,-145.21667,2271,2352,10755,210,0.100502512562814,0,0
"Seagull Lake",68.26667,-145.21667,2271,2352,11365,220,0.101910828025478,0.0114942528735632,0.00383141762452107
"Seagull Lake",68.26667,-145.21667,2271,2352,11975,230,0.05,0,0
"Seagull Lake",68.26667,-145.21667,2271,2352,12585,240,0.0529100529100529,0.0078740157480315,0.0078740157480315
"Seagull Lake",68.26667,-145.21667,2271,2352,13195,250,0.0796019900497512,0,0.00689655172413793
"Seagull Lake",68.26667,-145.21667,2271,2352,13805,260,0.0851063829787234,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,18,1,0.0611439842209073,0,0.0563380281690141
"Tukuto Lake",68.49686,-157.0356,10538,16238,145,3,0.0379464285714286,0,0.0506329113924051
"Tukuto Lake",68.49686,-157.0356,10538,16238,273,5,0.00536193029490617,0,0.018450184501845
"Tukuto Lake",68.49686,-157.0356,10538,16238,400,7,0.0557184750733138,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,528,9,0.0217864923747277,0,0.0508474576271186
"Tukuto Lake",68.49686,-157.0356,10538,16238,656,11,0.0218978102189781,0,0.0103448275862069
"Tukuto Lake",68.49686,-157.0356,10538,16238,785,13,0.0292397660818713,0,0.0127659574468085
"Tukuto Lake",68.49686,-157.0356,10538,16238,914,15,0.031390134529148,0,0.0189274447949527
"Tukuto Lake",68.49686,-157.0356,10538,16238,1041,17,0.0524861878453039,0,0.003584229390681
"Tukuto Lake",68.49686,-157.0356,10538,16238,1170,19,0.0612244897959184,0,0.0229885057471264
"Tukuto Lake",68.49686,-157.0356,10538,16238,1287,21,0.0650406504065041,0,0.0223048327137546
"Tukuto Lake",68.49686,-157.0356,10538,16238,1393,23,0.0560224089635854,0,0.0179856115107914
"Tukuto Lake",68.49686,-157.0356,10538,16238,1498,25,0.0304568527918782,0,0.00328947368421053
"Tukuto Lake",68.49686,-157.0356,10538,16238,1605,27,0.0415335463258786,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,1820,31,0.0522388059701493,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,1982,34,0.0556701030927835,0,0.0165289256198347
"Tukuto Lake",68.49686,-157.0356,10538,16238,2183,39,0.0626959247648903,0,0.0199203187250996
"Tukuto Lake",68.49686,-157.0356,10538,16238,2333,44,0.0430622009569378,0,0.0425531914893617
"Tukuto Lake",68.49686,-157.0356,10538,16238,2479,49,0.0691964285714286,0,0.0321637426900585
"Tukuto Lake",68.49686,-157.0356,10538,16238,2637,54,0.0593220338983051,0,0.0252707581227437
"Tukuto Lake",68.49686,-157.0356,10538,16238,2853,59,0.0784883720930233,0,0.0330578512396694
"Tukuto Lake",68.49686,-157.0356,10538,16238,3069,64,0.0561224489795918,0,0.0648464163822526
"Tukuto Lake",68.49686,-157.0356,10538,16238,3290,69,0.1,0,0.0259259259259259
"Tukuto Lake",68.49686,-157.0356,10538,16238,3510,74,0.0728862973760933,0,0.00823045267489712
"Tukuto Lake",68.49686,-157.0356,10538,16238,3729,79,0.0794701986754967,0,0.0357142857142857
"Tukuto Lake",68.49686,-157.0356,10538,16238,3955,84,0.0911949685534591,0,0.026431718061674
"Tukuto Lake",68.49686,-157.0356,10538,16238,4179,89,0.0451807228915663,0,0.0272373540856031
"Tukuto Lake",68.49686,-157.0356,10538,16238,4397,94,0.0185567010309278,0.00284900284900285,0.0199430199430199
"Tukuto Lake",68.49686,-157.0356,10538,16238,4612,99,0.0776699029126214,0,0.00309597523219814
"Tukuto Lake",68.49686,-157.0356,10538,16238,4828,104,0.0569948186528497,0,0.0195439739413681
"Tukuto Lake",68.49686,-157.0356,10538,16238,5016,109,0.0450928381962865,0,0.0323624595469256
