"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Seagull Lake",68.26667,-145.21667,2271,2352,190,0.0368421052631579,0.0151515151515152,0.00303030303030303,10948.5,9535
"Seagull Lake",68.26667,-145.21667,2271,2352,195,0.0564263322884013,0.0185873605947955,0.00743494423791821,11439.5,9840
"Seagull Lake",68.26667,-145.21667,2271,2352,200,0.050761421319797,0.00571428571428571,0,11895,10145
"Seagull Lake",68.26667,-145.21667,2271,2352,210,0.100502512562814,0,0,12809,10755
"Seagull Lake",68.26667,-145.21667,2271,2352,220,0.101910828025478,0.0114942528735632,0.00383141762452107,13686.5,11365
"Seagull Lake",68.26667,-145.21667,2271,2352,230,0.05,0,0,14588,11975
"Seagull Lake",68.26667,-145.21667,2271,2352,240,0.0529100529100529,0.0078740157480315,0.0078740157480315,15330,12585
"Seagull Lake",68.26667,-145.21667,2271,2352,250,0.0796019900497512,0,0.00689655172413793,16226.5,13195
"Seagull Lake",68.26667,-145.21667,2271,2352,260,0.0851063829787234,0,0,16938,13805
"Tukuto Lake",68.49686,-157.0356,10538,16238,1,0.0611439842209073,0,0.0563380281690141,502,18
"Tukuto Lake",68.49686,-157.0356,10538,16238,3,0.0379464285714286,0,0.0506329113924051,582.5,145
"Tukuto Lake",68.49686,-157.0356,10538,16238,5,0.00536193029490617,0,0.018450184501845,661.5,273
"Tukuto Lake",68.49686,-157.0356,10538,16238,7,0.0557184750733138,0,0,736,400
"Tukuto Lake",68.49686,-157.0356,10538,16238,9,0.0217864923747277,0,0.0508474576271186,810.5,528
"Tukuto Lake",68.49686,-157.0356,10538,16238,11,0.0218978102189781,0,0.0103448275862069,884,656
"Tukuto Lake",68.49686,-157.0356,10538,16238,13,0.0292397660818713,0,0.0127659574468085,959,785
"Tukuto Lake",68.49686,-157.0356,10538,16238,15,0.031390134529148,0,0.0189274447949527,1035,914
"Tukuto Lake",68.49686,-157.0356,10538,16238,17,0.0524861878453039,0,0.003584229390681,1113,1041
